"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","men","world","upon","govern","believ","nation","peopl","state","new","may","constitut","forc","public","will","year"
"2","work","peac","purpos","law","chang","everi","can","power","let","duti","union","war","principl","best","time"
"3","live","freedom","spirit","citizen","among","great","must","unit","american","present","state","great","experi","everi","day"
"4","mean","free","life","justic","faith","right","shall","great","togeth","countri","upon","made","liberti","now","today"
"5","industri","know","thing","whole","find","respons","nation","within","america","administr","right","may","preserv","civil","god"
"6","see","hope","polit","system","one","futur","one","import","old","confid","question","time","less","secur","stand"
"7","use","human","common","feder","call","act","make","protect","look","good","law","without","happi","effort","come"
"8","heart","america","action","support","beyond","respect","help","equal","better","object","now","land","opinion","countri","earth"
"9","hand","fear","still","enforc","live","home","take","interest","toward","execut","one","place","reason","far","first"
"10","mind","need","without","part","way","polici","anoth","parti","reach","shall","view","measur","full","alway","speak"
"11","product","progress","democraci","effect","man","just","task","commerc","make","high","author","event","order","may","histori"
"12","great","even","instrument","either","problem","secur","need","war","turn","offic","case","resourc","cours","practic","presid"
"13","well","long","good","mani","seek","danger","face","countri","build","much","exist","necessari","prosper","requir","moment"
"14","moral","seek","realiz","elect","side","abroad","whether","depend","progress","person","labor","might","rule","provid","centuri"
"15","children","friend","thought","establish","becom","past","mere","extend","opportun","fellowcitizen","decis","intern","form","faith","continu"
"16","million","mankind","mani","servic","end","equal","sens","limit","come","favor","general","circumst","wisdom","regard","voic"
"17","economi","strength","endur","organ","creat","also","honor","relat","generat","never","matter","revenu","due","restor","now"
"18","bodi","want","alon","busi","use","strength","reduc","territori","last","caus","clear","limit","provid","carri","think"
"19","energi","econom","ideal","local","independ","accept","bring","highest","differ","success","exercis","demand","fact","trust","man"
"20","standard","strive","leadership","opportun","place","place","neighbor","degre","forward","affect","accord","prepar","truth","pay","ago"
